timestamp,gas_price
07/17/2018,21.95
07/18/2018,22.2
07/19/2018,22.23
07/20/2018,21.95
07/21/2018,22.04333333
07/22/2018,22.13666667
07/23/2018,22.23
07/24/2018,22.15
07/25/2018,22.23
07/26/2018,22.27
07/27/2018,22.15
07/28/2018,22.2
07/29/2018,22.25
07/30/2018,22.3
07/31/2018,22.05
08/01/2018,22.13
08/02/2018,22.15
08/03/2018,22.18
08/04/2018,22.28
08/05/2018,22.38
08/06/2018,22.48
08/07/2018,22.73
08/08/2018,22.63
08/09/2018,22.67
08/10/2018,23.1
08/11/2018,23.26666667
08/12/2018,23.43333333
08/13/2018,23.6
08/14/2018,23.55
08/15/2018,23.4
08/16/2018,23.63
08/17/2018,24.1
08/18/2018,24.12333333
08/19/2018,24.14666667
08/20/2018,24.17
08/21/2018,24.2
08/22/2018,24.63
08/23/2018,24.85
08/24/2018,25.15
08/25/2018,25.15
08/26/2018,25.15
08/27/2018,25.15
